,neighborhood_overview
280,"['about', 'the', ""'hood:"", 'short', 'to', 'wallingford', 'and', 'fremont', 'main', 'drags', 'with', 'out-of-this-world', 'dining', 'and', 'drinking', 'options.', 'check', 'out', 'lake', 'union,', 'gasworks', 'park,', 'the', 'burke-gillman', 'trail,', 'woodland', 'park', 'zoo,', 'green', 'lake,', 'university', 'of', 'washington,', 'the', 'fremont', 'troll,', 'and', 'more...', 'all', 'within', 'distance.', 'i', 'have', 'a', 'full', 'guide', 'for', 'all', 'the', 'hot', 'spots', 'in', 'that', 'i', 'provide', 'each', 'guest.']"
282,"['this', 'apartment', 'is', 'nestled', 'on', 'the', 'border', 'of', ""seattle's"", 'trendy', 'and', 'popular', 'fremont/wallingford', 'neighborhoods.', 'known', 'as', 'the', ""'center"", 'of', 'the', ""universe',"", ""it's"", 'close', 'to', 'downtown', 'while', 'offering', 'much', 'to', 'explore', 'locally.', 'just', 'a', 'six', 'minute', 'to', ""seattle's"", 'woodland', 'park', 'zoo.', 'close', 'to', 'the', 'famous', 'fremont', 'troll,', ""theo's"", 'chocolate', 'factory,', 'the', 'burke', 'gilman', 'biking', 'trail,', 'the', 'greenlake', 'trail,', 'gasworks', 'park,', 'as', 'well', 'as', 'dozens', 'of', 'wonderful', 'restaurants', 'and', 'funky', 'local', 'shops.', 'parking', 'is', 'provided,', 'but', 'there', 'is', 'no', 'need', 'for', 'a', 'car', 'in', 'this', 'location.', 'fremont', 'is', 'home', 'to', 'a', 'renowned', ""farmer's"", 'market', 'as', 'well', 'as', 'many', 'festivals,', 'including', 'the', 'fremont', 'solstice', 'festival', 'and', 'parade', 'and', 'oktoberfest.']"
284,"['our', 'is', 'a', 'favorite!', 'extremely', 'walkable,', 'close', 'to', 'parks,', 'and', 'tasty', 'restaurants.']"
285,"['wallingford', 'is', 'a', 'fantastic', 'for', 'kids', 'and', 'adults', 'alike', 'with', 'the', 'proximity', 'of', 'meridian', 'park', 'and', 'greenlake', 'as', 'well', 'as', 'the', 'restaurants', 'and', 'cafes', 'of', 'tangletown.']"
286,"[""we've"", 'lived', 'here', 'for', '13', 'years', 'and', 'love', 'the', 'house', 'and', 'wallingford', 'neighborhood.', 'in', 'addition', 'to', 'being', 'just', 'a', 'few', 'blocks', 'from', 'almost', 'any', 'amenity', 'you', 'might', 'want,', ""we're"", 'a', ""stone's"", 'throw', 'from', 'a', 'large', 'park', 'and', 'playground,', 'and', 'have', 'friendly,', 'helpful', 'neighbors.', 'wallingford', 'is', 'a', 'quiet', ""that's"", 'home', 'to', 'a', 'mix', 'of', 'newer', 'families,', 'students', 'and', 'longtime', 'residents.']"
287,"[""it's"", 'a', 'quiet', 'block', 'but', 'a', 'short', 'away', 'are', 'more', 'amazing', 'bars,', 'restaurants,', 'music', 'venues,', 'and', 'parks', 'than', 'you', 'can', 'shake', 'a', 'stick', 'at!']"
288,"['we', 'are', 'in', 'the', 'middle', 'of', 'a', 'great', 'area:', 'the', 'uw,', 'the', 'shops', 'and', 'cafes', 'of', 'wallingford,', 'and', 'swimming', 'or', 'around', 'green', 'lake.', 'for', 'those', 'in', 'search', 'of', 'nightlife,', 'downtown', 'and', 'are', 'a', '15', 'minute', 'drive', 'away.']"
289,"['we', 'love', 'the', 'walkability', 'of', 'the', 'neighborhood.', 'whether', 'or', 'running', 'around', 'the', '3', 'mile', 'loop', 'at', 'green', 'lake,', 'relaxing', 'at', ""zooka's"", 'coffee', 'house', 'with', 'a', 'book', 'and', 'a', 'latte', 'or', 'heading', 'eight', 'blocks', 'into', 'vibrant', 'wallingford,', 'your', 'cottage', 'stay', 'promises', 'to', 'be', 'full', 'of', 'adventure,', 'restful', 'moments', 'to', 'savor', 'and', 'daily', 'immersion', 'into', '""foodie', 'heaven"".']"
290,"['***green', 'lake', '/', 'wallingford***', 'is', 'the', 'best', 'in', 'seattle!', 'green', 'lake', 'is', ""seattle's"", 'most', 'beloved', 'park.', 'its', 'expanse', 'of', 'water', 'and', 'green', 'space', 'in', 'the', 'center', 'of', 'a', 'dense', 'urban', 'draws', 'thousands', 'of', 'people', 'daily', 'from', 'all', 'over', 'the', 'city.', 'the', 'park', 'serves', 'as', 'a', 'natural', 'preserve', 'for', 'hundreds', 'of', 'species', 'of', 'trees', 'and', 'plants,', 'as', 'well', 'as', 'numerous', 'birds', 'and', 'waterfowl.', 'the', 'newly', 'reconstructed', '2.8-mile', 'path', 'around', 'the', 'lake', 'provides', 'a', 'perfect', 'recreational', 'spot', 'for', 'runners,', 'bikers,', 'skaters', 'and', 'walkers.', 'many', 'others', 'use', 'the', 'athletic', 'fields', 'or', 'visit', 'the', 'park', 'for', 'boating,', 'picnics', 'and', 'swimming.', 'green', 'lake', 'boat', 'rental', 'offers', 'paddle', 'boards,', 'kayaks,', 'canoes,', 'pedal', '&', 'row', 'boats', 'and', 'sailboats.', 'your', 'children', 'can', 'enjoy', 'the', 'several', 'playgrounds', 'near', 'the', 'cottage,', 'one', 'of', 'which', 'is', 'just', '2', 'blocks', 'away.', 'on', 'a', 'hot', 'day,', 'head', 'over', 'to', 'the', 'wading', 'pool', 'or', 'beach', 'at', 'green', 'lake.', 'the', 'cottage', 'is', 'a', 'ten-minute', 'to', 'several', 'restaurants:', '*', 'tangletown', 'zoka', 'coffee', 'shop', '--', 'a', 'great', 'spot', 'for', 'hanging', 'out', '*', 'hiroki', 'specialty', 'des']"
291,"['everything', 'you', 'might', 'need', 'is', 'within', 'distance,', 'unique', 'shops,', 'grocery', 'shopping', 'nearby', '(trader', ""joe's,"", 'whole', 'foods,', 'qfc),', 'great', 'parks,', 'several', 'movie', 'theaters', '(guild', '45th,', 'sundance,', 'varsity)', 'live', 'music', '(seamonster', 'lounge,', 'neptune', 'theater),', 'on', 'street', 'parking']"
292,"['amazing', 'location', '-', 'right', 'next', 'to', 'green', 'lake', 'with', 'many', 'amenities:', 'biking,', 'jogging,', 'inline', 'skating,', 'kayaking,', 'sailing,', 'tennis,', '9', 'short-hole', 'golf,', 'swimming,', 'basketball,', 'sculling,', 'or', 'just', 'sitting', 'an', 'enjoying', 'the', 'scenery.']"
293,"['wallingford', 'terrace', 'is', 'located', 'just', '4', 'blocks', 'from', 'gasworks', 'park,', 'in', 'the', 'heart', 'of', 'the', 'quiet', 'wallingford', 'neighborhood.', 'strolling', 'through', 'the', 'neighborhood,', 'you', 'will', 'find', 'friendly', 'neighbors,', 'children', 'playing,', 'people', 'gardening.', 'our', 'is', 'known', 'for', 'its', 'beautiful', 'homes,', 'breath-taking', 'landscaping,', 'garden', 'arts', 'and', 'sculptures,', 'and', 'sidewalk', 'swings', 'and', 'lending', 'libraries.', 'there', 'is', 'no', 'need', 'for', 'a', 'car,', 'but', 'if', 'you', 'choose', 'to', 'bring', 'one,', 'we', 'can', 'offer', 'a', 'dedicated', 'parking', 'spot', 'upon', 'request.', 'please', 'visit', 'our', 'website', 'at', '(url', 'hidden)', 'and', 'explore', 'the', 'menu', 'along', 'the', 'top', 'of', 'the', 'site', 'to', 'see', 'in', 'detail', 'what', 'wallingford', 'terrace', 'and', 'the', 'surrounding', 'area', 'has', 'to', 'offer.']"
