,neighborhood_overview
1208,"['this', 'is', 'awesome!', 'we', 'are:', '-', '1', 'street', 'away', 'from', 'major', 'public', 'transit', 'routes', '-', '5', 'minute', 'to', 'the', 'convention', 'center', '-', '5', 'minute', 'to', 'westlake', 'center', ""(seattle's"", 'major', 'shopping', 'district)', 'and', 'westlake', 'station,', 'which', 'features', 'a', 'direct', 'route', 'via', 'light', 'rail', 'to/from', 'the', 'airport.', '-', '7', 'minute', 'to', 'amazon/south', 'lake', 'union', '-', '10', 'minute', 'to', 'belltown', '-', '10', 'minute', 'from', 'pike', 'place', 'market', '-', '10', 'minute', 'drive', '/', '20', 'minute', 'bus', 'ride', 'to', 'a', 'sounders', 'or', 'mariners', 'game.']"
1209,"['in', 'the', 'heart', 'of', 'downtown', 'seattle!', 'nearby', 'attractions:', 'pike', 'place', 'market:', '0.4', 'miles', 'art', 'museum:', '0.5', 'miles', 'space', 'needle:', '0.5', 'miles', 'pacific', 'science', 'center:', '0.5', 'miles', 'experience', 'music', 'project:', '0.5', 'miles', 'aquarium:', '0.6', 'miles']"
1212,"['downtown,', 'waterfront,pike', 'place', 'market,farmers', 'market,western', 'avenue,', 'art', 'house.university', 'area']"
1213,"[""it's"", 'so', 'close', 'to', 'downtown,', 'it', 'basically', 'is', 'downtown.', 'i', 'love', 'being', 'where', 'all', 'the', 'events', 'happen,', 'and', 'just', 'being', 'able', 'to', 'anywhere', 'i', 'need', 'to.']"
1214,"['located', 'in', 'belltown,', 'a', 'in', 'downtown', 'seattle,', 'there', 'are', 'plenty', 'of', 'bars,', 'restaurants,', 'and', 'shops', 'to', 'explore.', 'the', 'space', 'is', 'located', '5', 'blocks', 'from', 'pike', 'place', 'market', 'and', 'is', 'only', 'a', '10', 'minute', 'from', 'the', 'olympic', 'sculpture', 'park', 'on', 'the', 'waterfront.', 'it', 'is', 'a', 'few', 'doors', 'down', 'for', 'the', 'design', 'store', 'peter', 'miller', 'books', 'and', 'the', 'suyama', 'space.', 'there', 'are', 'numerous', 'bars', 'and', 'restaurants', 'on', 'the', 'block.', 'the', 'historic', 'crocodile', 'music', 'venue', 'is', '1', 'block', 'up', 'the', 'street', 'and', 'the', 'space', 'needle', 'is', 'about', '5', 'minutes', 'walk.']"
1215,"['there', 'are', 'lots', 'of', 'great', 'restaurants', 'and', 'bars', 'in', 'the', 'area.', 'i', 'recommend', 'lava', 'lounge', 'for', 'good', 'cheap', 'drinks,', ""cj's"", 'eatery', 'for', 'a', 'great', 'breakfast,', 'and', 'petra', 'for', 'an', 'amazing', 'mediterranean', 'meal,', 'all', 'less', 'than', 'a', '10', 'min', 'walk.']"
1216,"['belltown', 'is', 'the', 'ideal', 'launch', 'pad', 'for', 'your', 'perfect', 'vacation.', 'situated', 'between', 'center', 'and', 'pike', 'place', 'market,', 'you', 'will', 'be', 'distance', 'to', 'popular', 'tourist', 'destinations', 'with', 'nightlife', 'just', 'outside', 'the', 'building.', 'you', 'will', 'love', 'having', 'a', 'place', 'to', 'relax', 'and', 'enjoy', 'your', 'time', 'in', 'between', 'trips', 'to', 'the', 'nearby', 'sights.', 'the', 'peek-a-boo', 'view', 'of', 'the', 'puget', 'sound', 'outside', 'your', 'windows', 'will', 'remind', 'you', 'why', 'you', 'came', 'to', 'this', 'gorgeous', 'city!']"
1217,"['right', 'on', 'the', 'edge', 'of', 'lower', 'queen', 'anne', 'and', 'belltown,', 'you', 'are', 'perfectly', 'situated', 'for', 'lots', 'of', 'stuff.', 'pacific', 'science', 'center', 'is', 'across', 'the', 'street.', 'key', 'arena', 'and', 'concerts', 'is', 'two', 'blocks', 'up.', 'safeway', 'and', 'qfc', '(grocery', 'stores)', 'are', 'a', '5-10', 'walk.', 'heading', 'downtown', 'you', 'are', 'minutes', 'from', 'clubs,', 'restaurants,', 'bars', 'and', 'the', 'like.', 'the', 'olympic', 'sculpture', 'park', 'is', 'the', 'next', 'block', 'over.', ""it's"", 'great', 'to', 'stroll', 'through', 'and', 'check', 'out', 'the', 'waterfront.']"
1220,"['the', 'center', 'is', 'just', '2', 'blocks', 'away', 'with', 'the', 'pacific', 'science', 'center,', 'space', 'needle,', 'emp,', 'key', 'arena,', 'and', 'more!', 'pike', 'place', 'market', 'is', 'a', '20', 'min', 'walk.', 'the', 'art', 'museum', 'is', 'just', 'a', 'bit', 'further.', 'sunsets', 'on', 'the', 'waterfront', 'are', 'breathtaking', 'when', 'you', 'outside', 'and', 'look', 'down', 'the', 'like', 'street', 'into', 'the', 'west!', 'amazing', 'restaurants', 'are', 'everywhere', 'in', 'belltown!', 'safeway', 'is', 'the', 'closest', 'grocery', 'store.']"
1223,"['metropolitan', 'tower', 'is', 'in', 'the', 'heart', 'of', 'downtown.', 'with', 'a', 'score', 'of', '98,', 'you', 'are', 'literally', 'steps', 'from', 'everything', 'you', 'want', 'in', 'an', 'urban', 'vacation.', 'just', '2', 'blocks', 'to', 'whole', 'foods', 'grocery', 'store', 'and', 'hopping', 'south', 'lake', 'union.', 'head', '2', 'blocks', 'in', 'the', 'other', 'direction', 'and', 'you', 'are', 'in', ""seattle's"", 'core', 'shopping', 'district', 'with', 'pacific', 'place', 'and', 'westlake', 'center.', 'the', 'washington', 'state', 'trade', 'and', 'convention', 'center', 'is', 'only', 'three', 'blocks', 'away', 'and', 'both', 'center', 'and', 'pike', 'place', 'market', 'are', 'a', 'short', 'away.']"
