,neighborhood_overview
2577,"['this', 'location', 'sits', 'in', 'the', 'middle', 'between', 'and', 'lake', 'union.', 'these', 'area', 'are', 'the', 'heart', 'and', 'vibe', 'of', 'seattle.', 'is', 'a', 'that', ""doesn't"", 'fit', 'easy', 'stereotypes.', 'part', 'hip', 'and', 'urban,', 'part', 'wooded', 'and', 'stately,', 'it', 'is', 'a', 'community', 'that', 'often', 'feels', 'like', 'a', 'small', 'town', 'in', 'itself,', 'one', 'that', 'a', 'huge', 'variety', 'of', 'business', '—', 'and', 'people', 'from', 'all', 'walks', 'of', 'life', '—', 'call', 'home.', 'perhaps', ""it's"", 'the', 'diversity', 'of', 'the', 'businesses', 'and', 'attractions', 'that', 'brings', 'such', 'a', 'diverse', 'group', 'of', 'people', 'to', 'this', 'neighborhood.', 'highlights', 'include', 'the', 'broadway', 'farmers', 'market,', 'a', 'seasonal', 'fiesta', 'of', 'food,', 'flowers', 'and', 'music;', 'cal', 'anderson', 'park,', 'which', 'is', 'full', 'of', 'dog', 'walkers,', 'frisbee', 'players', 'and', 'children', 'dipping', 'their', 'toes', 'in', 'the', 'streaming', 'fountain;', 'and', 'the', 'pike/pine', ""corridor's"", 'vintage', 'clothing', 'stores,', 'furniture', 'shops', 'and', 'coffeehouses.', 'lake', 'union', 'is', 'one', 'of', 'the', 'fastest', 'growing', 'and', 'most', 'vibrant', 'neighborhoods', 'in', 'seattle.', 'as', 'the', ""city's"", 'downtown', 'lakefront', 'neighborhood,', ""it's"", 'a', 'place', 'where', 'cutting-edge', 'companies', 'co-exist', 'with', 'urba']"
2579,"['the', 'flat', 'is', 'smack', 'dab', 'in', 'the', 'middle', 'of', 'hill,', 'off', 'of', 'cal', 'anderson', 'park', '(the', 'tree-lined', 'side--', 'but', 'diverse', 'and', 'active)', 'and', 'only', 'four', 'streets', 'from', 'the', 'pike/pine', 'corridor', '(the', 'hip', 'vibrant', 'night-life', 'side).', 'is', 'the', 'most', 'densely', 'populated', 'area', 'of', 'and', 'there', 'is', 'literally', 'something', 'for', 'everyone', 'here.', 'the', 'is', 'conveniently', 'within', 'distance', 'to', 'downtown', 'and', 'is', 'diverse,', 'busy,', 'creative', 'and', 'vibrant.', 'is', 'one', 'of', 'the', 'most', 'desirable', 'locations', 'in', 'seattle.']"
2582,"['we', 'love', 'everything', 'about', 'this', '(url', 'hidden)', 'is', 'eclectic', 'and', 'has', 'everything', 'you', 'could', 'need', 'within', 'distance!']"
2584,"['is', 'fun', 'for', 'any', 'age,', 'there', 'are', 'many', 'activities,', 'coffee', 'shops,', 'parks,', 'bars,', 'restaurants,', 'clubs,', 'art', 'venues,', 'and', 'grocery', 'stores', 'within', 'distance.', 'also', 'a', 'quick', 'down', 'to', 'the', 'city', 'center,', 'pike', 'place', 'market,', 'sam,', 'space', 'needle,', 'waterfront,', 'etc.']"
2586,"['is', 'one', 'of', 'the', 'fastest', 'growing,', 'eclectic', ',', 'and', 'accessible', 'neighborhoods.', 'whether', 'haute', 'cuisine', 'or', 'happy', 'hour,', 'exciting', 'night', 'spots', 'or', 'specialty', 'shopping,', '1629th', 'is', 'a', 'great', 'jumping', 'off', 'point', 'with', ""pike's"", 'place', 'market', 'and', 'pacific', 'place', 'shopping', 'center', 'just', 'down', 'the', 'hill.', 'located', 'just', 'blocks', 'from', 'pike,', 'pine,', 'and', 'broadway,', 'with', 'a', 'walkscore', 'of', '88,', 'this', 'unit', 'is', 'perfectly', 'situated', 'for', 'easily', 'accessing', 'all', 'of', 'downtown', ""seattle's"", 'major', 'attractions,', 'while', 'still', 'offering', 'you', 'a', 'sense', 'of', 'privacy', 'inside', 'the', 'bustling', 'city.']"
2587,"['is', 'one', 'of', 'the', 'most', 'loved', 'neighborhoods', 'in', 'seattle.', 'very', 'centrally', 'located', 'and', 'close', 'to', 'everything!', 'great', 'restaurants', 'and', 'nightlife!', '-blue', 'moon', 'burgers', 'and', 'pho', 'noodle', 'shop', 'in', 'building.', '-dilettante', 'chocolate', 'and', 'espresso', 'vicace', 'across', 'the', 'street.', '-qfc', 'grocery', 'store', 'across', 'the', 'street.', '-tashkent', 'park', '(.1', 'mile', 'away).', '-zipcar', 'rentals', '(413', 'feet', 'away).']"
2589,"['this', 'apartment', 'is', 'located', 'on', 'the', 'second', 'floor', 'of', 'an', 'old', 'building', 'at', 'the', 'corner', 'of', 'mercer', 'and', 'broadway.', 'while', 'it', 'is', 'in', 'one', 'of', 'the', 'busiest/most', 'entertaining', 'areas', 'of', 'hill,', 'it', 'is', 'located', 'at', 'the', 'end', 'of', 'the', 'broadway', 'strip', 'where', 'it', 'is', 'a', 'little', 'more', 'quiet', 'at', 'night.', 'while', 'there', 'is', 'plenty', 'to', 'do', 'right', 'nearby,', 'it', 'is', 'also', 'about', 'a', '12', 'minute', 'from', 'all', 'the', 'nightlife', 'at', 'e', 'pike', 'st', 'and', 'e', 'pine', 'st.']"
2590,"['the', 'location', 'is', 'truly', 'central', 'to', 'the', 'unique', 'and', 'innovative', 'with', 'a', 'score', 'of', '97!', 'we', 'are', 'extremely', 'close', 'to', 'great', 'shopping', 'along', 'broadway,', 'exciting', 'nightlife', 'on', 'the', 'pike/pine', 'corridor,', 'and', 'a', 'lovely', 'fifteen', 'minute', 'to', 'the', 'heart', 'of', 'downtown', 'seattle.', 'there', 'are', 'two', 'major', 'grocery', 'stores', 'four', 'blocks', 'each', 'direction', '&', 'our', 'kitchen', 'is', 'great', 'for', 'cooking!', 'we', 'are', 'also', 'within', 'smelling', 'distance', 'of', 'the', 'famous', ""dick's"", 'burgers.', 'if', 'you', 'prefer', 'hidden', 'local', 'places,', 'we', 'got', 'plenty', 'of', 'those', 'as', 'well', 'and', 'if', 'you', 'are', 'staying', 'with', 'us', 'over', 'a', 'weekend,', 'there', 'is', 'a', 'delicious', 'local', 'farmers', 'market', 'happening', 'on', 'sundays', 'just', 'a', 'stone', 'throws', 'away.', 'we', 'are', 'a', 'fifteen', 'minute', 'from', 'convention', 'center/downtown,', 'a', 'ten', 'minute', 'bus', 'ride', 'door', 'to', 'door,', 'or', 'a', '$6', 'uber.', 'when', 'we', 'travel,', 'we', 'take', 'the', 'link', 'light', 'from', 'the', 'airport', 'to', 'the', 'last', 'stop', '(westlake)', 'then', 'either', 'or', 'bus', 'home.', 'there', 'is', 'a', 'zipcar', 'parking', 'space', 'across', 'the', 'street', 'from', 'our', 'front', 'gate', 'and', ""it's"", 'surprising', 'when', 'there', ""isn't"", 'a', 'car2go', 'within', 'a']"
2591,"['is', 'the', 'heart', 'of', 'seattle.', 'downtown,', 'the', 'university,', 'husky', 'stadium,', 'medical', 'centers,', 'amazon,', 'south', 'lake', 'union', 'are', 'all', 'an', 'easy', 'bus', 'ride', 'or', 'drive', 'away.', 'the', 'house', 'is', 'steps', 'from', 'coffee', 'shops', 'and', 'fabulous', 'restaurants.']"
2594,"['i', 'have', 'lived', 'all', 'over', 'and', 'can', 'assure', 'you', 'this', 'is', 'the', 'most', 'vibrant,', 'unique', 'and', 'fun', 'in', 'all', 'of', 'seattle.', 'it', 'really', 'embodies', 'the', 'true', 'culture', 'of', 'and', 'will', 'give', 'you', 'an', 'authentic', 'feel', 'for', 'what', 'this', 'city', 'is', 'all', 'about.', 'the', 'is', 'minutes', 'from', 'downtown', 'and', 'is', 'full', 'of', 'fun', 'places', 'to', 'visit', 'and', 'things', 'to', 'do.']"
